datetime,t2m,u10m,v10m,sp
2019/09/12 14:48:38,283.9624,1.9806038,5.957656,99369.69
2019/09/12 15:48:38,283.91153,3.8058143,5.45446,99380.71
2019/09/12 16:48:38,283.72095,5.393767,4.740763,99376.945
2019/09/12 17:48:38,283.5415,7.082522,3.7451482,99449.47
2019/09/12 18:48:38,283.6921,6.6941385,2.6901126,99464.03
2019/09/12 19:48:38,283.53732,7.7130337,1.6773735,99520.195
2019/09/12 20:48:38,283.3528,7.8112345,1.1867337,99525.875
2019/09/12 21:48:38,283.30316,8.301092,1.2925607,99578.055
2019/09/12 22:48:38,283.00458,8.742726,1.7078731,99499.46
2019/09/12 23:48:38,283.01038,8.210297,1.6099488,99502.7
2019/09/13 00:48:38,282.07587,7.6373734,2.1357048,98577.5
2019/09/13 01:48:38,281.95938,7.452773,1.9920914,98575.24
2019/09/13 02:48:38,280.75195,1.9887512,1.028298,97431.125
2019/09/13 03:48:38,280.07697,2.259452,1.256834,97248.11
2019/09/13 04:48:38,279.58142,1.8194526,0.9889525,96683.3
2019/09/13 05:48:38,279.68875,1.9709154,0.77876586,96712.945
2019/09/13 06:48:38,294.59335,0.46351174,-0.07383562,91103.8
2019/09/13 07:48:38,296.04474,0.49890128,0.25737414,91156.62
2019/09/13 08:48:38,297.69818,-0.28228724,0.604008,91156.45
2019/09/13 09:48:38,298.89944,-0.98380727,1.1563396,91142.3
2019/09/13 10:48:38,299.72156,-1.6259279,1.0433421,91059.44
2019/09/13 11:48:38,299.84583,-1.499125,1.1195112,90980.27
2019/09/13 12:48:38,299.35004,-0.79846627,1.5882808,90874.12
2019/09/13 13:48:38,299.28897,-0.12204254,1.550758,90775.23
2019/09/13 14:48:38,298.24545,-0.6532774,1.0541574,90752.266
2019/09/13 15:48:38,296.9938,-0.21461304,0.26573417,90734.71
2019/09/13 16:48:38,296.8142,0.6431339,-0.87588614,90745.85
2019/09/13 17:48:38,295.79196,0.3037547,0.7847874,90918.555
2019/09/13 18:48:38,295.34824,0.6723244,-0.2576866,90964.54
2019/09/13 19:48:38,294.45,1.1675204,-0.3004247,91072.31
2019/09/13 20:48:38,293.96912,1.1698989,-0.13447277,91112.484
2019/09/13 21:48:38,294.16046,1.1241447,0.20064661,91184.16
2019/09/13 22:48:38,293.55862,0.30927962,0.6262513,91171.3
2019/09/13 23:48:38,293.19543,0.30468473,-0.57694864,91145.63
2019/09/14 00:48:38,293.08322,1.3359066,-0.793244,91043.07
2019/09/14 01:48:38,293.21735,1.4742554,-1.2957996,91004.555
2019/09/14 02:48:38,293.29736,0.4909298,-1.6254792,90972.73
2019/09/14 03:48:38,293.34006,0.080061264,-1.5737131,90995.54
2019/09/14 04:48:38,292.82822,0.18292193,-0.8435802,91024.336
2019/09/14 05:48:38,293.10312,0.27232772,-0.33834204,91063.6
2019/09/14 06:48:38,293.99893,0.74139583,0.33222216,91109.02
2019/09/14 07:48:38,294.93793,0.8823417,0.55729705,91152.37
2019/09/14 08:48:38,296.22937,0.89604366,0.10427564,91142.93
2019/09/14 09:48:38,297.926,0.8887774,-0.1283496,91089.414
2019/09/14 10:48:38,299.118,0.6401045,0.80321455,90978.62
2019/09/14 11:48:38,297.33054,0.24781615,1.3273414,90880.84
2019/09/14 12:48:38,296.40662,-0.3301664,0.9294284,90812.94
2019/09/14 13:48:38,296.64258,0.80901235,0.42296413,90753.97
2019/09/14 14:48:38,296.57806,1.2362783,0.52783823,90678.96
2019/09/14 15:48:38,296.8568,1.0572212,-0.011590056,90673.74
2019/09/14 16:48:38,296.3755,0.8449421,-0.0065203225,90706.14
2019/09/14 17:48:38,294.87335,1.0638822,0.35094896,90848.805
2019/09/14 18:48:38,294.4814,0.5340782,0.69411147,90934.734
2019/09/14 19:48:38,294.34637,0.31110868,0.9415241,90999.93
2019/09/14 20:48:38,293.83575,0.5109514,0.8961742,91073.97
2019/09/14 21:48:38,293.75317,0.9761445,0.7896539,91072.414
2019/09/14 22:48:38,293.3153,0.91957134,-0.13334188,91064.74
2019/09/14 23:48:38,293.24106,1.0692267,-0.41685385,90977.18
2019/09/15 00:48:38,293.1599,1.0250453,-0.79875183,90921.18
2019/09/15 01:48:38,293.2484,0.8980324,-0.96600544,90894.805
2019/09/15 02:48:38,293.20822,0.0731279,-0.62855405,90911.92
2019/09/15 03:48:38,293.2498,-0.43850705,-0.15082487,90941.05
2019/09/15 04:48:38,292.7068,-0.26699844,0.53706026,90997.56
2019/09/15 05:48:38,292.8048,-0.08236488,0.97664934,91045.86
2019/09/15 06:48:38,293.94397,-0.43679544,1.4885598,91093.48
2019/09/15 07:48:38,294.73306,-0.7376679,1.6207225,91121.61
2019/09/15 08:48:38,294.5136,-0.6944326,1.9217728,91177.98
2019/09/15 09:48:38,295.62918,-0.07077729,2.1206682,91132.445
2019/09/15 10:48:38,296.98053,0.42697334,2.3826785,91026.33
2019/09/15 11:48:38,295.67847,0.8590835,2.3623471,90966.9
2019/09/15 12:48:38,296.01196,0.79370296,1.680059,90867.34
2019/09/15 13:48:38,296.34625,0.8614306,1.4750118,90798.61
2019/09/15 14:48:38,296.92877,1.1160711,1.521636,90748.484
2019/09/15 15:48:38,296.67694,0.66560775,1.2970607,90737.05
2019/09/15 16:48:38,295.87344,0.7726917,1.0928185,90754.77
2019/09/15 17:48:38,294.6788,0.7967283,0.52907455,90883.555
2019/09/15 18:48:38,294.17435,1.017343,-0.390832,90930.2
2019/09/15 19:48:38,293.7601,1.0696542,-0.3103234,91021.14
2019/09/15 20:48:38,293.64456,1.0932653,-0.22175068,91095.92
2019/09/15 21:48:38,293.34192,0.79759586,-0.60299975,91132.16
2019/09/15 22:48:38,293.06897,0.5256757,-0.884597,91031.47
2019/09/15 23:48:38,292.57324,0.68805444,-0.6496711,90994.62
2019/09/16 00:48:38,292.6045,0.961335,-0.6555658,90933.945
2019/09/16 01:48:38,292.71243,1.0539296,-0.7593414,90916.24
2019/09/16 02:48:38,292.9176,0.82429594,-0.7566629,90917.39
2019/09/16 03:48:38,292.80176,0.62612563,-0.66697735,90929.56
2019/09/16 04:48:38,293.107,0.5007509,-0.6131292,90975.81
2019/09/16 05:48:38,293.51724,0.6757161,-0.7062562,91016.16
2019/09/16 06:48:38,294.4107,1.1751324,-0.86971056,91042.8
2019/09/16 07:48:38,296.38177,1.4374115,-0.028815167,91070.63
2019/09/16 08:48:38,297.64536,0.9234376,0.356124,91112.305
2019/09/16 09:48:38,298.41632,0.56883055,1.1702739,91049.47
2019/09/16 10:48:38,299.06494,0.569125,2.1273837,91003.98
2019/09/16 11:48:38,299.3166,0.43435335,2.007365,90879.19
2019/09/16 12:48:38,298.2528,-0.019077402,0.50544554,90832.125
2019/09/16 13:48:38,297.68097,-0.52470905,-0.38430616,90701.805
2019/09/16 14:48:38,297.39615,0.4788814,0.7740345,90664.07
2019/09/16 15:48:38,296.41806,0.73207426,-0.525161,90639.445
2019/09/16 16:48:38,296.1507,-0.39505237,-0.6559034,90691.555
2019/09/16 17:48:38,295.35196,0.1090713,0.39021084,90774.695
2019/09/16 18:48:38,294.01315,0.124302365,-0.30481392,90877.305
2019/09/16 19:48:38,293.7395,0.6898381,-0.21574824,90970.305
2019/09/16 20:48:38,293.4411,0.79286426,0.093533285,91012.73
2019/09/16 21:48:38,293.38168,0.7248205,-0.4552498,91036.78
2019/09/16 22:48:38,293.1545,0.5272757,-0.8370272,91031.055
2019/09/16 23:48:38,292.88278,0.4119492,-0.7512839,90960.38
2019/09/17 00:48:38,292.6522,0.40161663,-0.63025516,90912.8
2019/09/17 01:48:38,292.54196,0.07346198,-0.7962707,90859.24
2019/09/17 02:48:38,292.5183,-0.19168268,-1.1872944,90868.56
2019/09/17 03:48:38,292.45346,0.08935254,-1.2150271,90838.19
2019/09/17 04:48:38,292.33704,0.13991694,-0.98011994,90874.984
2019/09/17 05:48:38,292.78732,0.14246063,-0.8141007,90904.5
2019/09/17 06:48:38,294.84274,0.481199,0.9244222,90969.01
2019/09/17 07:48:38,296.01422,0.33177176,1.219612,91031.8
2019/09/17 08:48:38,297.10825,-0.28192002,1.3464534,91046.54
2019/09/17 09:48:38,298.17505,-0.6248576,1.5262822,90997.1
2019/09/17 10:48:38,298.81784,-0.45442474,1.5912457,90934.984
2019/09/17 11:48:38,299.61212,-0.6427693,2.0717564,90816.984
2019/09/17 12:48:38,299.693,-1.0594583,1.9191283,90694.625
2019/09/17 13:48:38,299.08978,-1.9556352,1.3197368,90594.05
2019/09/17 14:48:38,298.62448,-1.4365567,1.3527609,90558.516
2019/09/17 15:48:38,297.26074,-0.664891,-0.61499107,90604.04
2019/09/17 16:48:38,296.90985,-0.23811498,-0.5171554,90587.84
2019/09/17 17:48:38,295.68973,-0.85928005,-0.850089,90708.66
2019/09/17 18:48:38,295.30887,0.12752332,-0.48422283,90860.89
2019/09/17 19:48:38,294.8049,-0.046721037,-0.47369736,90903.45
2019/09/17 20:48:38,294.44662,-0.028510557,-0.5772626,90940.22
2019/09/17 21:48:38,293.98746,-0.31762764,-0.561623,91000.055
2019/09/17 22:48:38,293.1383,-1.4870509,-0.34983078,91008.37
2019/09/17 23:48:38,292.6747,-1.5602965,-0.024343666,90950.17
2019/09/18 00:48:38,292.61536,-1.1316723,-0.23528424,90931.31
2019/09/18 01:48:38,292.6975,-1.0827851,-0.3194297,90887.67
2019/09/18 02:48:38,292.78433,-1.5573728,-0.17048661,90887.28
